NAME,GEOID,Cancer_Mortality,Population,Mortality_Rate_100000
Adams,17001,141,64783,217.649692
Alexander,17003,25,5497,454.7935237
Bond,17005,37,16262,227.5242898
Boone,17007,83,52777,157.2654755
Brown,17009,16,6546,244.4240758
Bureau,17011,91,32303,281.7075813
Calhoun,17013,13,4616,281.6291161
Carroll,17015,44,14241,308.9670669
Cass,17017,26,11925,218.0293501
Champaign,17019,280,209192,133.8483307
Christian,17021,74,32075,230.7092751
Clark,17023,37,15268,242.3369138
Clay,17025,26,13079,198.7919566
Clinton,17027,67,37398,179.1539655
Coles,17029,110,50383,218.3276105
Cook,17031,8863,5108284,173.5024912
Crawford,17033,52,18512,280.8988764
Cumberland,17035,23,10649,215.9827214
De Witt,17039,42,15368,273.2951588
DeKalb,17037,171,104491,163.6504579
Douglas,17041,38,19510,194.7719118
DuPage,17043,1525,917481,166.2159761
Edgar,17045,62,16858,367.7779096
Edwards,17047,22,6356,346.1296413
Effingham,17049,86,34065,252.4585352
Fayette,17051,44,21264,206.9224981
Ford,17053,40,12949,308.9041625
Franklin,17055,101,38060,265.3704677
Fulton,17057,120,33690,356.1887801
Gallatin,17059,13,4793,271.2288754
Greene,17061,30,12702,236.1832782
Grundy,17063,101,50993,198.0664013
Hamilton,17065,22,8084,272.1425037
Hancock,17067,41,17422,235.3346344
Hardin,17069,8,3808,210.0840336
Henderson,17071,15,6535,229.5332823
Henry,17073,125,48411,258.2057797
Iroquois,17075,83,26711,310.7334057
Jackson,17077,114,56675,201.1468902
Jasper,17079,23,9465,243.0005283
Jefferson,17081,100,37235,268.5645226
Jersey,17083,60,21616,277.5721688
Jo Daviess,17085,57,21239,268.3742172
Johnson,17087,27,12358,218.481955
Kane,17089,835,531010,157.2475095
Kankakee,17091,242,108594,222.8484078
Kendall,17093,160,130638,122.4758493
Knox,17095,139,49053,283.3669704
Lake,17097,1113,693593,160.4687475
LaSalle,17099,287,107571,266.8005317
Lawrence,17101,32,15467,206.8920928
Lee,17103,95,33647,282.3431509
Livingston,17105,90,35414,254.1367821
Logan,17107,73,28383,257.196209
Macon,17115,273,103015,265.00995
Macoupin,17117,108,44567,242.3317701
Madison,17119,592,262635,225.4078855
Marion,17121,116,37045,313.1326765
Marshall,17123,32,11309,282.960474
Mason,17125,54,13173,409.929401
Massac,17127,37,13636,271.3405691
McDonough,17109,67,29295,228.7079706
McHenry,17111,569,305888,186.0157966
McLean,17113,260,171256,151.8194983
Menard,17129,22,12068,182.3002983
Mercer,17131,42,15225,275.862069
Monroe,17133,76,34739,218.7742883
Montgomery,17135,72,28045,256.7302549
Morgan,17137,90,33400,269.4610778
Moultrie,17139,42,14347,292.7441277
Ogle,17141,137,50306,272.3333201
Peoria,17143,422,177652,237.5430617
Perry,17145,41,20664,198.4126984
Piatt,17147,40,16355,244.5735249
Pike,17149,57,15239,374.0402914
Pope,17151,13,4142,313.8580396
Pulaski,17153,11,5201,211.4977889
Putnam,17155,17,5716,297.4107768
Randolph,17157,85,31351,271.1237281
Richland,17159,42,15507,270.8454246
Rock Island,17161,341,140907,242.003591
Saline,17165,75,23182,323.5268743
Sangamon,17167,428,193882,220.752829
Schuyler,17169,12,6738,178.09439
Scott,17171,12,4950,242.4242424
Shelby,17173,53,21299,248.8379736
St. Clair,17163,570,258046,220.8908489
Stark,17175,15,5262,285.0627138
Stephenson,17177,127,43831,289.7492642
Tazewell,17179,294,130777,224.810173
Union,17181,44,16498,266.6989938
Vermilion,17183,207,74855,276.5346336
Wabash,17185,29,11190,259.1599643
Warren,17187,52,16696,311.4518448
Washington,17189,28,13764,203.4292357
Wayne,17191,37,16031,230.8028195
White,17193,40,13364,299.3115834
Whiteside,17195,153,54656,279.9326698
Will,17197,1153,688726,167.4105522
Williamson,17199,164,66415,246.9321689
Winnebago,17201,642,281295,228.2301498
Woodford,17203,83,38091,217.8992413
