County_Name,GEOID,Percent_in_Poverty
Adams,17001,10.7
Alexander,17003,24.2
Bond,17005,10.8
Boone,17007,6.8
Brown,17009,16.7
Bureau,17011,10
Calhoun,17013,9.2
Carroll,17015,10.5
Cass,17017,12.2
Champaign,17019,15.1
Christian,17021,9.9
Clark,17023,10.4
Clay,17025,13.3
Clinton,17027,7.1
Coles,17029,17.5
Cook,17031,12.9
Crawford,17033,11
Cumberland,17035,8.9
De Witt,17039,10.8
DeKalb,17037,9.9
Douglas,17041,8.2
DuPage,17043,5.9
Edgar,17045,11.7
Edwards,17047,10.7
Effingham,17049,9.3
Fayette,17051,14.7
Ford,17053,9.5
Franklin,17055,15.5
Fulton,17057,13.2
Gallatin,17059,15.6
Greene,17061,13.3
Grundy,17063,5.9
Hamilton,17065,13
Hancock,17067,11.2
Hardin,17069,18
Henderson,17071,10.6
Henry,17073,9.6
Iroquois,17075,11.2
Jackson,17077,17.2
Jasper,17079,9.6
Jefferson,17081,12.5
Jersey,17083,8.5
Jo Daviess,17085,9.1
Johnson,17087,14.9
Kane,17089,7.3
Kankakee,17091,13.6
Kendall,17093,3.9
Knox,17095,13.4
Lake,17097,7
LaSalle,17099,11.4
Lawrence,17101,16.5
Lee,17103,10.6
Livingston,17105,9.9
Logan,17107,11.6
Macon,17115,12.8
Macoupin,17117,10.8
Madison,17119,11
Marion,17121,14.2
Marshall,17123,9.3
Mason,17125,13.4
Massac,17127,14.8
McDonough,17109,16.8
McHenry,17111,6.3
McLean,17113,10.7
Menard,17129,7.9
Mercer,17131,8.8
Monroe,17133,4.1
Montgomery,17135,13.5
Morgan,17137,12.4
Moultrie,17139,9.1
Ogle,17141,8.3
Peoria,17143,14.2
Perry,17145,15.1
Piatt,17147,6.4
Pike,17149,13.5
Pope,17151,15.6
Pulaski,17153,20.4
Putnam,17155,7.3
Randolph,17157,12
Richland,17159,11.9
Rock Island,17161,13.5
Saline,17165,15.3
Sangamon,17167,12.8
Schuyler,17169,11.7
Scott,17171,10.8
Shelby,17173,8.9
St. Clair,17163,13.8
Stark,17175,10.8
Stephenson,17177,11.2
Tazewell,17179,7.6
Union,17181,14
Vermilion,17183,18.6
Wabash,17185,11.7
Warren,17187,10.7
Washington,17189,7.6
Wayne,17191,12.9
White,17193,15.4
Whiteside,17195,9.1
Will,17197,7.2
Williamson,17199,13.9
Winnebago,17201,14.6
Woodford,17203,6.2
